Tsi,Ion,empty ,sensitivity,,Vth,empty,sensitivity
10.02986141,1.41E-06,8.37E-13,1.68E+06,,0.170503968,0.270993644,0.37081931
10.03000429,1.41E-06,8.37E-13,1.68E+06,,0.170506278,0.270993644,0.370810786
10.03014716,1.41E-06,8.37E-13,1.68E+06,,0.170508588,0.270993644,0.370802262
10.03029004,1.41E-06,8.37E-13,1.68E+06,,0.170510898,0.270993644,0.370793738
10.03043292,1.41E-06,8.37E-13,1.68E+06,,0.170513208,0.270993644,0.370785214
10.0305758,1.41E-06,8.37E-13,1.68E+06,,0.170515518,0.270993644,0.370776689
10.03071867,1.41E-06,8.37E-13,1.68E+06,,0.170517828,0.270993644,0.370768165
10.03086155,1.41E-06,8.37E-13,1.68E+06,,0.170520138,0.270993644,0.370759641
10.03100443,1.41E-06,8.37E-13,1.68E+06,,0.170522448,0.270993644,0.370751117
10.03114731,1.41E-06,8.37E-13,1.68E+06,,0.170524758,0.270993644,0.370742593
10.03129018,1.41E-06,8.37E-13,1.68E+06,,0.170527067,0.270993644,0.370734072
10.03143306,1.41E-06,8.37E-13,1.68E+06,,0.170529377,0.270993644,0.370725548
10.03157594,1.41E-06,8.37E-13,1.68E+06,,0.170531687,0.270993644,0.370717024
10.03171882,1.41E-06,8.37E-13,1.68E+06,,0.170533997,0.270993644,0.3707085
10.03186169,1.41E-06,8.37E-13,1.68E+06,,0.170536307,0.270993644,0.370699975
10.03200457,1.41E-06,8.37E-13,1.68E+06,,0.170538617,0.270993644,0.370691451
10.03214745,1.41E-06,8.37E-13,1.68E+06,,0.170540927,0.270993644,0.370682927
10.03229033,1.41E-06,8.37E-13,1.68E+06,,0.170543237,0.270993644,0.370674403
10.0324332,1.41E-06,8.37E-13,1.68E+06,,0.170545547,0.270993644,0.370665879
10.03257608,1.41E-06,8.37E-13,1.68E+06,,0.170547857,0.270993644,0.370657354
10.03271896,1.41E-06,8.37E-13,1.68E+06,,0.170550166,0.270993644,0.370648834
10.03286184,1.41E-06,8.37E-13,1.68E+06,,0.170552476,0.270993644,0.37064031
10.03300471,1.41E-06,8.37E-13,1.68E+06,,0.170554786,0.270993644,0.370631786
