C.Length,Ion,ion_air,ion_sensitivity,,Vth,vth_air,vth_sensitivity
243.5422203,9.81E-07,5.19E-14,1.89E+07,,0.174423569,0.42959254,0.593979055
243.5443635,9.81E-07,5.19E-14,1.89E+07,,0.174424075,0.42959254,0.593977877
243.5465066,9.81E-07,5.19E-14,1.89E+07,,0.174424581,0.42959254,0.593976699
243.5486498,9.81E-07,5.19E-14,1.89E+07,,0.174425087,0.42959254,0.593975521
243.550793,9.81E-07,5.19E-14,1.89E+07,,0.174425593,0.42959254,0.593974343
243.5529361,9.81E-07,5.19E-14,1.89E+07,,0.1744261,0.42959254,0.593973163
243.5550793,9.81E-07,5.19E-14,1.89E+07,,0.174426606,0.42959254,0.593971985
243.5572225,9.81E-07,5.19E-14,1.89E+07,,0.174427112,0.42959254,0.593970807
243.5593656,9.81E-07,5.19E-14,1.89E+07,,0.174427618,0.42959254,0.59396963
243.5615088,9.81E-07,5.19E-14,1.89E+07,,0.174428124,0.42959254,0.593968452
243.563652,9.81E-07,5.19E-14,1.89E+07,,0.17442863,0.42959254,0.593967274
243.5657951,9.81E-07,5.19E-14,1.89E+07,,0.174429136,0.42959254,0.593966096
243.5679383,9.81E-07,5.19E-14,1.89E+07,,0.174429642,0.42959254,0.593964918
243.5700814,9.81E-07,5.19E-14,1.89E+07,,0.174430148,0.42959254,0.59396374
243.5722246,9.81E-07,5.19E-14,1.89E+07,,0.174430654,0.42959254,0.593962562
243.5743678,9.81E-07,5.19E-14,1.89E+07,,0.17443116,0.42959254,0.593961385
243.5765109,9.81E-07,5.19E-14,1.89E+07,,0.174431666,0.42959254,0.593960207
243.5786541,9.81E-07,5.19E-14,1.89E+07,,0.174432172,0.42959254,0.593959029
243.5807973,9.81E-07,5.19E-14,1.89E+07,,0.174432678,0.42959254,0.593957851
243.5829404,9.81E-07,5.19E-14,1.89E+07,,0.174433184,0.42959254,0.593956673
243.5850836,9.81E-07,5.19E-14,1.89E+07,,0.17443369,0.42959254,0.593955495
243.5872267,9.81E-07,5.19E-14,1.89E+07,,0.174434196,0.42959254,0.593954317
243.5893699,9.81E-07,5.19E-14,1.89E+07,,0.174434702,0.42959254,0.59395314
243.5915131,9.81E-07,5.19E-14,1.89E+07,,0.174435208,0.42959254,0.593951962
243.5936562,9.81E-07,5.19E-14,1.89E+07,,0.174435714,0.42959254,0.593950784
